x,y,d/dx,d/dy
-4.399999E-01,-1.160000E+00,-3.517469E+09,-9.222269E+09
-4.399999E-01,-1.040000E+00,-2.157688E+09,-4.446228E+09
-4.399999E-01,-9.200000E-01,-1.595418E+08,9.003878E+08
-4.399999E-01,-8.000000E-01,2.865473E+09,6.897410E+09
-4.399999E-01,-6.799999E-01,7.584492E+09,1.349175E+10
-4.399999E-01,-5.599999E-01,1.513910E+10,2.022918E+10
-4.399999E-01,-4.399999E-01,2.736352E+10,2.569705E+10
-4.399999E-01,-3.199999E-01,4.655768E+10,2.683196E+10
-4.399999E-01,-1.999999E-01,7.300837E+10,1.954170E+10
-4.399999E-01,-7.999992E-02,9.798228E+10,3.187180E+09
-4.399999E-01,4.000008E-02,1.026282E+11,-1.489993E+10
-4.399999E-01,1.600001E-01,8.233964E+10,-2.550673E+10
-4.399999E-01,2.800001E-01,5.472632E+10,-2.676040E+10
-4.399999E-01,4.000001E-01,3.288501E+10,-2.230521E+10
-4.399999E-01,5.200001E-01,1.858280E+10,-1.576457E+10
-4.399999E-01,6.400001E-01,9.712874E+09,-9.039401E+09
-4.399999E-01,7.600000E-01,4.205922E+09,-2.825399E+09
-4.399999E-01,8.800001E-01,7.090370E+08,2.732515E+09
-4.399999E-01,1.000000E+00,-1.577636E+09,7.687112E+09
-4.399999E-01,1.120000E+00,-3.118634E+09,1.214190E+10
-4.399999E-01,1.240000E+00,-4.187027E+09,1.619883E+10
-4.399999E-01,1.360000E+00,-4.947265E+09,1.994351E+10
-3.199999E-01,-1.280000E+00,-2.852857E+09,-1.258258E+10
-3.199999E-01,-1.160000E+00,-2.087752E+09,-7.862488E+09
-3.199999E-01,-1.040000E+00,-9.597539E+08,-2.448082E+09
-3.199999E-01,-9.200000E-01,7.660190E+08,3.925403E+09
-3.199999E-01,-8.000000E-01,3.522634E+09,1.161643E+10
-3.199999E-01,-6.799999E-01,8.151392E+09,2.104636E+10
-3.199999E-01,-5.599999E-01,1.637260E+10,3.245360E+10
-3.199999E-01,-4.399999E-01,3.184281E+10,4.489121E+10
-3.199999E-01,-3.199999E-01,6.218711E+10,5.328266E+10
-3.199999E-01,-1.999999E-01,1.195774E+11,4.451561E+10
-3.199999E-01,-7.999992E-02,1.982267E+11,7.833083E+09
-3.199999E-01,4.000008E-02,2.165873E+11,-3.518847E+10
-3.199999E-01,1.600001E-01,1.455442E+11,-5.312005E+10
-3.199999E-01,2.800001E-01,7.772434E+10,-4.860170E+10
-3.199999E-01,4.000001E-01,3.976583E+10,-3.660742E+10
-3.199999E-01,5.200001E-01,2.045379E+10,-2.463450E+10
-3.199999E-01,6.400001E-01,1.036678E+10,-1.454637E+10
-3.199999E-01,7.600000E-01,4.797418E+09,-6.322285E+09
-3.199999E-01,8.800001E-01,1.540144E+09,4.458228E+08
-3.199999E-01,1.000000E+00,-4.668832E+08,6.146113E+09
-3.199999E-01,1.120000E+00,-1.760920E+09,1.107351E+10
